periódicos, scielo_url, publicador, status
"Archivos de Prevención de Riesgos Laborales", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1578-2549&lng=en", "Societat Catalana de Salut Laboral y Asociación de Medicina del Trabajo de la Comunidad Valenciana", "current"
"Archivos de Zootecnia", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0004-0592&lng=en", "Universidad de Córdoba", "current"
"Archivos Españoles de Urología (Ed. impresa)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0004-0614&lng=en", "INIESTARES, S.A.", "suspended"
"Archivos Latinoamericanos de Nutrición", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0004-0622&lng=en", "Sociedad Latinoamericana de Nutrición", "current"
"Archivos Venezolanos de Farmacología y Terapéutica", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0264&lng=en", "Sociedad Venezolana de Farmacológia y Farmacológia Clínica y Terapéutica. Escuela de Medicina", "suspended"
"Archivos Venezolanos de Puericultura y Pediatría", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0004-0649&lng=en", "Sociedad Venezolana de Puericultura y Pediatría", "current"
"Areté", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1016-913X&lng=en", "Pontificia Universidad Católica del Perú . Departamento de Humanidades", "current"
"Argos", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-6379&lng=en", "Asociación Argentina de Estudios Clásicos", "deceased"
"Argumentos (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-5795&lng=en", "División de Ciencias Sociales y Humanidades, UAM-Unidad Xochimilco", "suspended"
"Arnaldoa", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=2413-3299&lng=en", "Universidad Privada Antenor Orrego, Museo de Historia Natural", "current"
"ARQ (Santiago)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6996&lng=en", "Pontificia Universidad Católica de Chile, Escuela de Arquitectura", "current"
"Arquitectura y Urbanismo", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5898&lng=en", "Instituto Superior Politécnico José Antonio Echeverría", "suspended"
"Arquivo Brasileiro de Medicina Veterinária e Zootecnia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-0935&lng=en", "Universidade Federal de Minas Gerais, Escola de Veterinária", "current"
"Arquivos Brasileiros de Cardiologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0066-782X&lng=en", "Sociedade Brasileira de Cardiologia - SBC", "current"
"Arquivos Brasileiros de Endocrinologia & Metabologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2730&lng=en", "Sociedade Brasileira de Endocrinologia e Metabologia", "deceased"
"Arquivos Brasileiros de Oftalmologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2749&lng=en", "Conselho Brasileiro de Oftalmologia", "current"
"Arquivos Brasileiros de Psicologia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-5267&lng=en", "Universidade Federal do Rio de Janeiro", "current"
"Arquivos de Gastroenterologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2803&lng=en", "Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia e Outras Especialidades - IBEPEGE.", "current"
"Arquivos de Medicina", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0871-3413&lng=en", "ArquiMed - Edições Científicas AEFMUP", "suspended"
"Arquivos de Neuro-Psiquiatria", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-282X&lng=en", "Academia Brasileira de Neurologia - ABNEURO", "current"
"Arquivos do Instituto Biológico", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1808-1657&lng=en", "Instituto Biológico", "current"
"Arquivos Internacionais de Otorrinolaringologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1809-4872&lng=en", "Fundação Otorrinolaringologia", "deceased"
"ARS (São Paulo)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-5320&lng=en", "Escola de Comunicações e Artes da Universidade de São Paulo", "current"
"Ars Pharmaceutica (Internet)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=2340-9894&lng=en", "Universidad de Granada", "current"
"Atenea (Concepción)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-0462&lng=en", "Universidad de Concepción", "current"
"Atmósfera", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-6236&lng=en", "Centro de Ciencias de la Atmósfera, UNAM", "current"
"Audiology - Communication Research", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2317-6431&lng=en", "Academia Brasileira de Audiologia", "current"
