periódicos, scielo_url, publicador, status
"CliniCAPS", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1983-6007&lng=en", "Universidade Federal de Minas Gerais, Departamento de Psicologia", "suspended"
"Comportamento Organizacional e Gestão", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0872-9662&lng=en", "ISPA - Instituto Superior de Psicologia Aplicada", "suspended"
"Computational & Applied Mathematics", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1807-0302&lng=en", "Sociedade Brasileira de Matemática Aplicada e Computacional", "suspended"
"Comunicações Geológicas", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=1647-581X&lng=en", "LNEG - Laboratório Nacional de Energia e Geologia", "suspended"
"Concreto y cemento. Investigación y desarrollo", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3011&lng=en", "Instituto Mexicano del Cemento y del Concreto, A.C.", "suspended"
"CONfines de relaciones internacionales y ciencia política", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-3569&lng=en", "Instituto Tecnológico y de Estudios Superiores de Monterrey, División de Humanidades y Ciencias Sociales", "suspended"
"Corrosão e Protecção de Materiais", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0870-1164&lng=en", "LNEG - Laboratório Nacional de Energia e Geologia, I.P.", "suspended"
"Crítica (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0011-1503&lng=en", "Instituto de Investigaciones Filosóficas, UNAM", "suspended"
"Cuadernos de economía", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6821&lng=en", "Instituto de Economía, Pontificia Universidad Católica de Chile", "deceased"
"Cuadernos de historia de España", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-1195&lng=en", "Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Historia de España", "deceased"
"Cuadernos de Historia de la Salud Pública", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=0045-9178&lng=en", "Editorial Ciencias Médicas", "deceased"
"Cuicuilco", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-1659&lng=en", "Escuela Nacional de Antropología e Historia", "deceased"
"Delito y sociedad", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2468-9963&lng=en", "Ediciones UNL.", "deceased"
"Distúrbios da Comunicação", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0102-762X&lng=en", "Pontifícia Universidade Católica de São Paulo", "deceased"
"Diversitas", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1794-9998&lng=en", "Universidad Santo Tomás", "suspended"
"Documentos y aportes en administración pública y gestión estatal", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3727&lng=en", "Magister en Administración Pública, Facultad de Ciencias Económicas, Universidad Nacional del Litoral", "deceased"
"Eclética Química", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-4670&lng=en", "Fundação Editora da Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP", "suspended"
"Economia Aplicada", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8050&lng=en", "Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto da Universidade de São Paulo", "suspended"
"Economia Global e Gestão", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0873-7444&lng=en", "ISCTE-IUL Business School", "suspended"
"Economía mexicana. Nueva época", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-2045&lng=en", "Centro de Investigación y Docencia Económicas", "deceased"
"Educación Médica", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1575-1813&lng=en", "Fundación Educación Médica", "suspended"
"Educación química", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-893X&lng=en", "Universidad Nacional Autónoma de México, Facultad de Química", "suspended"
"Educere", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1316-4910&lng=en", "Universidad de los Andes", "suspended"
"Electronic Journal of Biotechnology", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-3458&lng=en", "Pontificia Universidad Católica de Valparaíso", "suspended"
"Encontro", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1676-5478&lng=en", "Centro Universitário de Santo André", "deceased"
"Enlace", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-7515&lng=en", "Universidad del Zulia", "suspended"
"Entomología y Vectores", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0328-0381&lng=en", "Editora Gama Filho", "deceased"
"EPISTEME", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-4324&lng=en", "INSTITUTO DE FILOSOFIA UCV", "suspended"
"Epistemo-somática", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1980-2005&lng=en", "Clínica de Psicologia e Psicanálise do Hospital Mater Dei", "suspended"
"Ernstia", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0252-8274&lng=en", "Universidad Central de Venezuela", "suspended"
"Escritos sobre Educação", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-9843&lng=en", "Fundação Helena Antipoff. Instituto Anísio Teixeira", "suspended"
"Estudios de cultura náhuatl", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0071-1675&lng=en", "Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas", "suspended"
"Estudios de historia moderna y contemporánea de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-2620&lng=en", "Instituto de Investigaciones Históricas, UNAM", "suspended"
"Estudios de historia novohispana", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-2523&lng=en", "Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas", "suspended"
"Estudios sociales (Hermosillo, Son.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-4557&lng=en", "Centro de Investigación en Alimentación y Desarrollo, A. C.", "deceased"
"Estudos Afro-Asiáticos", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-546X&lng=en", "Universidade Cândido Mendes", "suspended"
"Estudos de Psicologia (Natal)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-294X&lng=en", "Programa de Pós-graduação em Psicologia e do Programa de Pós-graduação em Psicobiologia, Universidade Federal do Rio Grande do Norte", "suspended"
"Família e Comunidade", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1806-6631&lng=en", "Pontifícia Universidade Católica de São Paulo", "deceased"
"Fitopatologia Brasileira", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-4158&lng=en", "Sociedade Brasileira de Fitopatologia", "deceased"
"Fitosanidad", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1562-3009&lng=en", "CIDISAV", "suspended"
"Frónesis", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-6268&lng=en", "Instituto de Filosofía del Derecho Dr. José M. Delgado Ocando Facultad de Ciencias Jurídicas y Políticas - Universidad del Zulia - Maracaibo - Venezuela.", "suspended"
"Gaceta Laboral", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-8597&lng=en", "Publicación del", "suspended"
"Gaceta Médica de Caracas", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0367-4762&lng=en", "ATEPROCA", "suspended"
"Gaceta médica de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0016-3813&lng=en", "Academia Nacional de Medicina de México, A.C.", "suspended"
"Geofísica internacional", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0016-7169&lng=en", "Instituto de Geofísica, UNAM", "suspended"
"Historia y grafía", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-0927&lng=en", "Universidad Iberoamericana, Departamento de Historia", "suspended"
"Imaginário", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-666X&lng=en", "Laboratório de Estudos do Imaginário do Instituto de Psicologia da Universidade de São Paulo", "deceased"
"Ingeniería mecánica, tecnología y desarrollo", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-7381&lng=en", "Sociedad Mexicana de Ingeniería Mecánica", "suspended"
"Interação", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1516-1854&lng=en", "Universidade Federal do Paraná. Departamento de Psicologia", "deceased"
"Interações", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-2907&lng=en", "Unimarco Editora", "deceased"
"Interamerican Journal of Psychology", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0034-9690&lng=en", "Sociedad Interamericana de Psicología", "suspended"
"Interciencia", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0378-1844&lng=en", "ASOCIACIÓN INTERCIENCIA", "suspended"
